UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
11,Exp_20260319_141709,3,0.966,22.78
11,Exp_20260319_141709,3,0.977,22.47
11,Exp_20260319_141709,3,0.988,22.21
11,Exp_20260319_141709,3,1.000,21.88
11,Exp_20260319_141709,3,1.011,21.50
11,Exp_20260319_141709,3,1.025,21.14
11,Exp_20260319_141709,3,1.035,20.66
11,Exp_20260319_141709,3,1.043,20.21
11,Exp_20260319_141709,3,1.055,19.74
11,Exp_20260319_141709,3,1.066,19.23
11,Exp_20260319_141709,3,1.077,18.81
11,Exp_20260319_141709,3,1.088,18.35
11,Exp_20260319_141709,3,1.099,17.84
11,Exp_20260319_141709,3,1.111,17.26
11,Exp_20260319_141709,3,1.122,16.82
11,Exp_20260319_141709,3,1.136,16.54
11,Exp_20260319_141709,3,1.148,16.29
11,Exp_20260319_141709,3,1.155,16.12
11,Exp_20260319_141709,3,1.166,16.09
11,Exp_20260319_141709,3,1.177,15.97
11,Exp_20260319_141709,3,1.191,15.84
11,Exp_20260319_141709,3,1.199,15.73
11,Exp_20260319_141709,3,1.210,15.55
11,Exp_20260319_141709,3,1.222,15.40
11,Exp_20260319_141709,3,1.233,15.21
11,Exp_20260319_141709,3,1.247,15.00
11,Exp_20260319_141709,3,1.255,14.74
11,Exp_20260319_141709,3,1.266,14.40
11,Exp_20260319_141709,3,1.277,14.09
11,Exp_20260319_141709,3,1.288,13.77
11,Exp_20260319_141709,3,1.299,13.37
11,Exp_20260319_141709,3,1.310,12.95
11,Exp_20260319_141709,3,1.321,12.58
11,Exp_20260319_141709,3,1.333,12.35
11,Exp_20260319_141709,3,1.347,12.11
11,Exp_20260319_141709,3,1.358,11.99
11,Exp_20260319_141709,3,1.366,11.92
11,Exp_20260319_141709,3,1.377,11.88
11,Exp_20260319_141709,3,1.388,11.84
11,Exp_20260319_141709,3,1.399,11.81
11,Exp_20260319_141709,3,1.410,11.67
11,Exp_20260319_141709,3,1.421,11.48
11,Exp_20260319_141709,3,1.433,11.25
11,Exp_20260319_141709,3,1.443,10.99
11,Exp_20260319_141709,3,1.455,10.66
11,Exp_20260319_141709,3,1.469,10.29
11,Exp_20260319_141709,3,1.477,9.91
11,Exp_20260319_141709,3,1.488,9.50
11,Exp_20260319_141709,3,1.502,9.15
11,Exp_20260319_141709,3,1.510,8.69
11,Exp_20260319_141709,3,1.521,8.21
11,Exp_20260319_141709,3,1.533,7.74
11,Exp_20260319_141709,3,1.544,7.33
11,Exp_20260319_141709,3,1.555,7.02
11,Exp_20260319_141709,3,1.566,6.81
11,Exp_20260319_141709,3,1.580,6.61
11,Exp_20260319_141709,3,1.588,6.49
11,Exp_20260319_141709,3,1.600,6.58
11,Exp_20260319_141709,3,1.610,6.59
11,Exp_20260319_141709,3,1.621,6.64
11,Exp_20260319_141709,3,1.633,6.72
11,Exp_20260319_141709,3,1.643,6.73
11,Exp_20260319_141709,3,1.657,6.69
11,Exp_20260319_141709,3,1.666,6.64
11,Exp_20260319_141709,3,1.677,6.59
11,Exp_20260319_141709,3,1.691,6.51
11,Exp_20260319_141709,3,1.699,6.35
11,Exp_20260319_141709,3,1.710,6.17
11,Exp_20260319_141709,3,1.721,5.95
11,Exp_20260319_141709,3,1.733,5.64
11,Exp_20260319_141709,3,1.743,5.42
11,Exp_20260319_141709,3,1.755,5.14
11,Exp_20260319_141709,3,1.766,4.87
11,Exp_20260319_141709,3,1.776,4.58
11,Exp_20260319_141709,3,1.788,4.30
11,Exp_20260319_141709,3,1.802,4.09
11,Exp_20260319_141709,3,1.812,3.93
11,Exp_20260319_141709,3,1.821,3.77
11,Exp_20260319_141709,3,1.833,3.73
